DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
TUE,DMDW_CS-30,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DMDW_CS-31,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DMDW_CS-32,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DMDW_CS-33,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DMDW_CS-34,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DMDW_CS-35,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,IP_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,IP_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,IP_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_IT-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_IT-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_IT-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,BD_IT-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,BD_IT-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,BD_IT-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,BD_IT-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,BD_IT-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DSA_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DSA_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,DSA_CE-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CI_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,IOT_CE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,IOT_CE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_SE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_SE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,AI_SE-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,ML_SE-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,ML_SE-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
TUE,ML_SE-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,,,,,,,
WED,HPC_CS-1,---,X,---,X,---,X,---,X,C25-A-001,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-3,---,X,---,X,---,X,---,X,C25-A-006,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-5,---,X,---,X,---,X,---,X,C25-A-007,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-7,---,X,---,X,---,X,---,X,C25-A-008,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-8,---,X,---,X,---,X,---,X,C25-B-315,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-10,---,X,---,X,---,X,---,X,C25-A-009,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-12,---,X,---,X,---,X,---,X,C25-A-010,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-14,---,X,---,X,---,X,---,X,C25-A-011,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-16,---,X,---,X,---,X,---,X,C25-A-101,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
WED,HPC_CS-18,---,X,---,X,---,X,---,X,C25-A-106,HPC(DE),---,X,---,X,---,X,---,X
WED,HPC_CS-19,---,X,---,X,---,X,---,X,C25-A-107,HPC(DE),---,X,---,X,---,X,---,X
