FRI(1),CSE-19,---,X,---,X,X,C25-B-309,DS,C25-B-309,STW,AFL,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-20,---,X,---,X,X,C25-B-319,IND4,C25-B-319,DS,AFL,---,X,C25-A-106,DSD,C25-A-106,PS,X
TUE(1),CSE-20,---,X,---,X,X,---,X,C25-A-207,DSD,STW,---,X,C25-B-303(L),DS(L),C25-B-303(L),DS(L),X
WED(0),CSE-20,---,X,C25-A-114,AFL,IND4,C25-B-319,DS,C25-B-319,STW,PS,---,X,---,X,---,X,X
THU(0),CSE-20,---,X,C25-A-114,X,AFL,C25-B-309,PS,C25-B-309,DSD,DS,---,X,---,X,---,X,X
FRI(1),CSE-20,---,X,---,X,X,C25-B-310,AFL,C25-B-310,PS,DS,---,X,C25-B-218(L),DSD(L),C25-B-218(L),DSD(L),X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-21,---,X,C25-B-318(L),DSD(L),DSD(L),C25-A-014,DS,C25-A-014,PS,STW,---,X,---,X,---,X,X
TUE(1),CSE-21,---,X,---,X,X,---,X,C25-B-320,IND4,DS,---,X,C25-B-209,AFL,C25-B-209,STW,X
WED(1),CSE-21,---,X,---,X,X,C25-B-213,AFL,C25-A-003(L),DS(L),DS(L),---,X,C25-A-007,PS,C25-A-007,DSD,X
THU(1),CSE-21,---,X,---,X,X,C25-B-310,PS,C25-B-310,AFL,DS,---,X,C25-A-010,DSD,---,X,X
FRI(0),CSE-21,---,X,C25-A-115,IND4,AFL,C25-B-319,DS,C25-B-319,DSD,PS,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(1),CSE-22,---,X,---,X,X,C25-A-015,PS,C25-A-015,AFL,DS,---,X,C25-B-118(L),DSD(L),C25-B-118(L),DSD(L),X
TUE(0),CSE-22,---,X,C25-B-212(L),DS(L),DS(L),C25-B-019,IND4,C25-B-019,DS,X,---,X,---,X,---,X,X
WED(0),CSE-22,---,X,C25-A-115,DS,AFL,C25-A-014,STW,C25-A-014,DSD,PS,---,X,---,X,---,X,X
THU(0),CSE-22,---,X,C25-A-115,X,STW,C25-B-319,DSD,C25-B-319,AFL,PS,---,X,---,X,---,X,X
FRI(1),CSE-22,---,X,---,X,X,C25-A-014,AFL,C25-A-014,IND4,DSD,---,X,C25-A-108,PS,C25-A-108,DS,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-23,---,X,C25-A-214,DS,DSD,C25-A-016,PS,C25-A-016,AFL,X,---,X,---,X,---,X,X
TUE(1),CSE-23,---,X,---,X,X,---,X,C25-A-308,DS,DSD,---,X,C25-B-218(L),DSD(L),C25-B-218(L),DSD(L),X
WED(1),CSE-23,---,X,---,X,X,C25-B-215,AFL,C25-B-304(L),DS(L),DS(L),---,X,C25-A-008,PS,C25-A-008,STW,X
THU(0),CSE-23,---,X,C25-A-116,IND4,PS,C25-A-014,AFL,C25-A-014,DS,STW,---,X,---,X,---,X,X
FRI(0),CSE-23,---,X,C25-A-116,AFL,DS,C25-A-015,PS,C25-A-015,IND4,DSD,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON(0),CSE-24,---,X,C25-A-215,DSD,DS,C25-A-018,IND4,C25-A-018,PS,AFL,---,X,---,X,---,X,X
TUE(0),CSE-24,---,X,C25-B-218(L),DSD(L),DSD(L),C25-B-017,DS,C25-B-017,IND4,X,---,X,---,X,---,X,X
WED(1),CSE-24,---,X,---,X,X,C25-A-015,STW,C25-A-015,AFL,DSD,---,X,C25-A-009,DS,C25-A-009,PS,X
THU(1),CSE-24,---,X,---,X,X,C25-A-015,AFL,C25-A-015,PS,X,---,X,C25-A-103(L),DS(L),C25-A-103(L),DS(L),X
FRI(0),CSE-24,---,X,C25-A-118,DS,AFL,C25-A-016,PS,C25-A-016,DSD,STW,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
