Roll Number,Section,,,,,,
2306112,AI_IT-05,,,,,,
2306121,AI_IT-05,,,,,,
2306125,AI_IT-05,,,,,,
2306129,AI_IT-05,,,,,,
2306139,AI_IT-05,,,,,,
2306150,AI_IT-05,,,,,,
2306153,AI_IT-05,,,,,,
2306158,AI_IT-05,,,,,,
2306167,AI_IT-05,,,,,,
2306172,AI_IT-05,,,,,,
2306179,AI_IT-05,,,,,,
2306180,AI_IT-05,,,,,,
2306189,AI_IT-05,,,,,,
2306192,AI_IT-05,,,,,,
2306198,AI_IT-05,,,,,,
2306201,AI_IT-05,,,,,,
2306203,AI_IT-05,,,,,,
2306207,AI_IT-05,,,,,,
2306208,AI_IT-05,,,,,,
2306211,AI_IT-05,,,,,,
2306223,AI_IT-05,,,,,,
2306236,AI_IT-05,,,,,,
2306244,AI_IT-05,,,,,,
2306246,AI_IT-05,,,,,,
2306252,AI_IT-05,,,,,,
2306259,AI_IT-05,,,,,,
2306267,AI_IT-05,,,,,,
2306274,AI_IT-05,,,,,,
2306278,AI_IT-05,,,,,,
2306283,AI_IT-05,,,,,,
2306284,AI_IT-05,,,,,,
2306286,AI_IT-05,,,,,,
2306296,AI_IT-05,,,,,,
2306299,AI_IT-05,,,,,,
2306303,AI_IT-05,,,,,,
2306311,AI_IT-05,,,,,,
2306319,AI_IT-05,,,,,,
2306330,AI_IT-05,,,,,,
2306339,AI_IT-05,,,,,,
2306343,AI_IT-05,,,,,,
2306354,AI_IT-05,,,,,,
2306355,AI_IT-05,,,,,,
2306363,AI_IT-05,,,,,,
2306365,AI_IT-05,,,,,,
2306368,AI_IT-05,,,,,,
2306370,AI_IT-05,,,,,,
2306371,AI_IT-05,,,,,,
2306376,AI_IT-05,,,,,,
2306378,AI_IT-05,,,,,,
2306379,AI_IT-05,,,,,,
2306384,AI_IT-05,,,,,,
2306385,AI_IT-05,,,,,,
2306387,AI_IT-05,,,,,,
2306391,AI_IT-05,,,,,,
2306396,AI_IT-05,,,,,,
2328031,AI_SE-01,,,,,,
2328037,AI_SE-01,,,,,,
2328040,AI_SE-01,,,,,,
2328045,AI_SE-01,,,,,,
2328052,AI_SE-01,,,,,,
2328061,AI_SE-01,,,,,,
2328063,AI_SE-01,,,,,,
2328064,AI_SE-01,,,,,,
2328066,AI_SE-01,,,,,,
2328071,AI_SE-01,,,,,,
2328073,AI_SE-01,,,,,,
2328076,AI_SE-01,,,,,,
2328077,AI_SE-01,,,,,,
2328080,AI_SE-01,,,,,,
2328081,AI_SE-01,,,,,,
2328082,AI_SE-01,,,,,,
2328084,AI_SE-01,,,,,,
2328088,AI_SE-01,,,,,,
2328093,AI_SE-01,,,,,,
2328094,AI_SE-01,,,,,,
2328096,AI_SE-01,,,,,,
2328097,AI_SE-01,,,,,,
2328100,AI_SE-01,,,,,,
2328104,AI_SE-01,,,,,,
2328105,AI_SE-01,,,,,,
2328107,AI_SE-01,,,,,,
2328111,AI_SE-01,,,,,,
2328112,AI_SE-01,,,,,,
2328113,AI_SE-01,,,,,,
2328115,AI_SE-01,,,,,,
2328116,AI_SE-01,,,,,,
2328117,AI_SE-01,,,,,,
2328118,AI_SE-01,,,,,,
2328125,AI_SE-01,,,,,,
2328129,AI_SE-01,,,,,,
2328131,AI_SE-01,,,,,,
2328135,AI_SE-01,,,,,,
2328136,AI_SE-01,,,,,,
2328139,AI_SE-01,,,,,,
2328140,AI_SE-01,,,,,,
2328144,AI_SE-01,,,,,,
2328146,AI_SE-01,,,,,,
2328152,AI_SE-01,,,,,,
2328157,AI_SE-01,,,,,,
2328158,AI_SE-01,,,,,,
2328159,AI_SE-01,,,,,,
2328160,AI_SE-01,,,,,,
2328162,AI_SE-01,,,,,,
2328165,AI_SE-01,,,,,,
2328166,AI_SE-01,,,,,,
2328173,AI_SE-01,,,,,,
2328177,AI_SE-01,,,,,,
2328178,AI_SE-01,,,,,,
2328179,AI_SE-01,,,,,,
2328181,AI_SE-01,,,,,,
2328189,AI_SE-01,,,,,,
2328193,AI_SE-01,,,,,,
2328194,AI_SE-01,,,,,,
2328198,AI_SE-01,,,,,,
2328202,AI_SE-01,,,,,,
2328204,AI_SE-01,,,,,,
2328206,AI_SE-01,,,,,,
2328207,AI_SE-01,,,,,,
2328214,AI_SE-01,,,,,,
2328216,AI_SE-01,,,,,,
2328221,AI_SE-01,,,,,,
2328223,AI_SE-01,,,,,,
2328224,AI_SE-01,,,,,,
2328226,AI_SE-01,,,,,,
2328234,AI_SE-01,,,,,,
2328243,AI_SE-01,,,,,,
2328244,AI_SE-01,,,,,,
2328247,AI_SE-01,,,,,,
2328250,AI_SE-01,,,,,,
2328252,AI_SE-01,,,,,,
2328253,AI_SE-01,,,,,,
2328004,AI_SE-02,,,,,,
2328006,AI_SE-02,,,,,,
2328010,AI_SE-02,,,,,,
2328011,AI_SE-02,,,,,,
2328012,AI_SE-02,,,,,,
2328014,AI_SE-02,,,,,,
2328020,AI_SE-02,,,,,,
2328021,AI_SE-02,,,,,,
2328022,AI_SE-02,,,,,,
2328023,AI_SE-02,,,,,,
2328025,AI_SE-02,,,,,,
2328026,AI_SE-02,,,,,,
2328027,AI_SE-02,,,,,,
2328032,AI_SE-02,,,,,,
2328034,AI_SE-02,,,,,,
2328035,AI_SE-02,,,,,,
2328038,AI_SE-02,,,,,,
2328041,AI_SE-02,,,,,,
2328042,AI_SE-02,,,,,,
2328043,AI_SE-02,,,,,,
2328046,AI_SE-02,,,,,,
2328047,AI_SE-02,,,,,,
2328049,AI_SE-02,,,,,,
2328050,AI_SE-02,,,,,,
2328055,AI_SE-02,,,,,,
2328062,AI_SE-02,,,,,,
2328069,AI_SE-02,,,,,,
2328074,AI_SE-02,,,,,,
2328075,AI_SE-02,,,,,,
2328079,AI_SE-02,,,,,,
2328085,AI_SE-02,,,,,,
2328087,AI_SE-02,,,,,,
2328092,AI_SE-02,,,,,,
2328095,AI_SE-02,,,,,,
2328098,AI_SE-02,,,,,,
2328101,AI_SE-02,,,,,,
2328108,AI_SE-02,,,,,,
2328121,AI_SE-02,,,,,,
2328122,AI_SE-02,,,,,,
2328126,AI_SE-02,,,,,,
2328133,AI_SE-02,,,,,,
2328134,AI_SE-02,,,,,,
2328138,AI_SE-02,,,,,,
2328141,AI_SE-02,,,,,,
2328143,AI_SE-02,,,,,,
2328147,AI_SE-02,,,,,,
2328149,AI_SE-02,,,,,,
2328163,AI_SE-02,,,,,,
2328167,AI_SE-02,,,,,,
2328168,AI_SE-02,,,,,,
2328169,AI_SE-02,,,,,,
2328172,AI_SE-02,,,,,,
2328180,AI_SE-02,,,,,,
2328183,AI_SE-02,,,,,,
2328184,AI_SE-02,,,,,,
2328185,AI_SE-02,,,,,,
2328190,AI_SE-02,,,,,,
2328192,AI_SE-02,,,,,,
2328195,AI_SE-02,,,,,,
2328203,AI_SE-02,,,,,,
2328212,AI_SE-02,,,,,,
2328215,AI_SE-02,,,,,,
2328219,AI_SE-02,,,,,,
2328222,AI_SE-02,,,,,,
2328227,AI_SE-02,,,,,,
2328228,AI_SE-02,,,,,,
2328232,AI_SE-02,,,,,,
2328235,AI_SE-02,,,,,,
2328236,AI_SE-02,,,,,,
2328239,AI_SE-02,,,,,,
2328240,AI_SE-02,,,,,,
2328241,AI_SE-02,,,,,,
2328242,AI_SE-02,,,,,,
2328245,AI_SE-02,,,,,,
2328246,AI_SE-02,,,,,,
2328254,AI_SE-02,,,,,,
2428301,AI_SE-02,,,,,,
2328001,AI_SE-03,,,,,,
2328002,AI_SE-03,,,,,,
2328003,AI_SE-03,,,,,,
2328005,AI_SE-03,,,,,,
2328007,AI_SE-03,,,,,,
2328008,AI_SE-03,,,,,,
2328015,AI_SE-03,,,,,,
2328016,AI_SE-03,,,,,,
2328017,AI_SE-03,,,,,,
2328019,AI_SE-03,,,,,,
2328024,AI_SE-03,,,,,,
2328029,AI_SE-03,,,,,,
2328030,AI_SE-03,,,,,,
2328039,AI_SE-03,,,,,,
2328044,AI_SE-03,,,,,,
2328048,AI_SE-03,,,,,,
2328051,AI_SE-03,,,,,,
2328053,AI_SE-03,,,,,,
2328054,AI_SE-03,,,,,,
2328056,AI_SE-03,,,,,,
2328057,AI_SE-03,,,,,,
2328058,AI_SE-03,,,,,,
2328059,AI_SE-03,,,,,,
2328065,AI_SE-03,,,,,,
2328068,AI_SE-03,,,,,,
2328070,AI_SE-03,,,,,,
2328072,AI_SE-03,,,,,,
2328078,AI_SE-03,,,,,,
2328083,AI_SE-03,,,,,,
2328086,AI_SE-03,,,,,,
2328089,AI_SE-03,,,,,,
2328091,AI_SE-03,,,,,,
2328099,AI_SE-03,,,,,,
2328102,AI_SE-03,,,,,,
2328103,AI_SE-03,,,,,,
2328106,AI_SE-03,,,,,,
2328109,AI_SE-03,,,,,,
2328110,AI_SE-03,,,,,,
2328114,AI_SE-03,,,,,,
2328120,AI_SE-03,,,,,,
2328123,AI_SE-03,,,,,,
2328127,AI_SE-03,,,,,,
2328128,AI_SE-03,,,,,,
2328130,AI_SE-03,,,,,,
2328142,AI_SE-03,,,,,,
2328145,AI_SE-03,,,,,,
2328148,AI_SE-03,,,,,,
2328150,AI_SE-03,,,,,,
2328156,AI_SE-03,,,,,,
2328161,AI_SE-03,,,,,,
2328164,AI_SE-03,,,,,,
2328170,AI_SE-03,,,,,,
2328176,AI_SE-03,,,,,,
2328182,AI_SE-03,,,,,,
2328186,AI_SE-03,,,,,,
2328187,AI_SE-03,,,,,,
2328188,AI_SE-03,,,,,,
2328191,AI_SE-03,,,,,,
2328196,AI_SE-03,,,,,,
2328199,AI_SE-03,,,,,,
2328205,AI_SE-03,,,,,,
2328208,AI_SE-03,,,,,,
2328209,AI_SE-03,,,,,,
2328210,AI_SE-03,,,,,,
2328213,AI_SE-03,,,,,,
2328217,AI_SE-03,,,,,,
2328218,AI_SE-03,,,,,,
2328225,AI_SE-03,,,,,,
2328229,AI_SE-03,,,,,,
2328231,AI_SE-03,,,,,,
2328233,AI_SE-03,,,,,,
2328237,AI_SE-03,,,,,,
2328238,AI_SE-03,,,,,,
2328248,AI_SE-03,,,,,,
2328249,AI_SE-03,,,,,,
2328251,AI_SE-03,,,,,,
2305023,DOS_CS-01,,,,,,
2305044,DOS_CS-01,,,,,,
2305053,DOS_CS-01,,,,,,
2305094,DOS_CS-01,,,,,,
2305226,DOS_CS-01,,,,,,
2305406,DOS_CS-01,,,,,,
2305564,DOS_CS-01,,,,,,
2305756,DOS_CS-01,,,,,,
2305829,DOS_CS-01,,,,,,
2305832,DOS_CS-01,,,,,,
2305834,DOS_CS-01,,,,,,
2305875,DOS_CS-01,,,,,,
2305896,DOS_CS-01,,,,,,
2305951,DOS_CS-01,,,,,,
2305998,DOS_CS-01,,,,,,
23051068,DOS_CS-01,,,,,,
23051098,DOS_CS-01,,,,,,
23051163,DOS_CS-01,,,,,,
23051209,DOS_CS-01,,,,,,
23051293,DOS_CS-01,,,,,,
23051301,DOS_CS-01,,,,,,
23051302,DOS_CS-01,,,,,,
23051400,DOS_CS-01,,,,,,
23051450,DOS_CS-01,,,,,,
23051486,DOS_CS-01,,,,,,
23051491,DOS_CS-01,,,,,,
23051651,DOS_CS-01,,,,,,
23051706,DOS_CS-01,,,,,,
23051765,DOS_CS-01,,,,,,
23051825,DOS_CS-01,,,,,,
23051841,DOS_CS-01,,,,,,
23051863,DOS_CS-01,,,,,,
23051876,DOS_CS-01,,,,,,
23051910,DOS_CS-01,,,,,,
23051927,DOS_CS-01,,,,,,
23051954,DOS_CS-01,,,,,,
23051977,DOS_CS-01,,,,,,
23052015,DOS_CS-01,,,,,,
23052057,DOS_CS-01,,,,,,
23052100,DOS_CS-01,,,,,,
23052271,DOS_CS-01,,,,,,
23052279,DOS_CS-01,,,,,,
23052471,DOS_CS-01,,,,,,
23052511,DOS_CS-01,,,,,,
23052512,DOS_CS-01,,,,,,
23052515,DOS_CS-01,,,,,,
23052517,DOS_CS-01,,,,,,
23052546,DOS_CS-01,,,,,,
23052567,DOS_CS-01,,,,,,
23052648,DOS_CS-01,,,,,,
23052668,DOS_CS-01,,,,,,
23052737,DOS_CS-01,,,,,,
23052741,DOS_CS-01,,,,,,
23052784,DOS_CS-01,,,,,,
23052789,DOS_CS-01,,,,,,
23052809,DOS_CS-01,,,,,,
23052811,DOS_CS-01,,,,,,
23052812,DOS_CS-01,,,,,,
23052907,DOS_CS-01,,,,,,
23052924,DOS_CS-01,,,,,,
23052933,DOS_CS-01,,,,,,
23053133,DOS_CS-01,,,,,,
23053189,DOS_CS-01,,,,,,
23053209,DOS_CS-01,,,,,,
23053244,DOS_CS-01,,,,,,
23053258,DOS_CS-01,,,,,,
23053263,DOS_CS-01,,,,,,
23053267,DOS_CS-01,,,,,,
23053529,DOS_CS-01,,,,,,
23053685,DOS_CS-01,,,,,,
23053783,DOS_CS-01,,,,,,
23053788,DOS_CS-01,,,,,,
23053834,DOS_CS-01,,,,,,
24057004,DOS_CS-01,,,,,,
24057009,DOS_CS-01,,,,,,
24057067,DOS_CS-01,,,,,,
24057080,DOS_CS-01,,,,,,
24057083,DOS_CS-01,,,,,,
2305013,DOS_CS-02,,,,,,
2305077,DOS_CS-02,,,,,,
2305099,DOS_CS-02,,,,,,
2305126,DOS_CS-02,,,,,,
2305184,DOS_CS-02,,,,,,
2305224,DOS_CS-02,,,,,,
2305313,DOS_CS-02,,,,,,
2305509,DOS_CS-02,,,,,,
2305553,DOS_CS-02,,,,,,
2305589,DOS_CS-02,,,,,,
2305601,DOS_CS-02,,,,,,
2305624,DOS_CS-02,,,,,,
2305630,DOS_CS-02,,,,,,
2305635,DOS_CS-02,,,,,,
2305649,DOS_CS-02,,,,,,
2305664,DOS_CS-02,,,,,,
2305796,DOS_CS-02,,,,,,
2305833,DOS_CS-02,,,,,,
2305846,DOS_CS-02,,,,,,
2305869,DOS_CS-02,,,,,,
2305870,DOS_CS-02,,,,,,
23051312,DOS_CS-02,,,,,,
23051341,DOS_CS-02,,,,,,
23051370,DOS_CS-02,,,,,,
23051390,DOS_CS-02,,,,,,
23051399,DOS_CS-02,,,,,,
23051431,DOS_CS-02,,,,,,
23051517,DOS_CS-02,,,,,,
23051553,DOS_CS-02,,,,,,
23051671,DOS_CS-02,,,,,,
23051698,DOS_CS-02,,,,,,
23051778,DOS_CS-02,,,,,,
23051808,DOS_CS-02,,,,,,
23051809,DOS_CS-02,,,,,,
23051818,DOS_CS-02,,,,,,
23051911,DOS_CS-02,,,,,,
23052004,DOS_CS-02,,,,,,
23052021,DOS_CS-02,,,,,,
23052025,DOS_CS-02,,,,,,
23052251,DOS_CS-02,,,,,,
23052292,DOS_CS-02,,,,,,
23052298,DOS_CS-02,,,,,,
23052401,DOS_CS-02,,,,,,
23052406,DOS_CS-02,,,,,,
23052409,DOS_CS-02,,,,,,
23052427,DOS_CS-02,,,,,,
23052484,DOS_CS-02,,,,,,
23052536,DOS_CS-02,,,,,,
23052548,DOS_CS-02,,,,,,
23052549,DOS_CS-02,,,,,,
23052624,DOS_CS-02,,,,,,
23052775,DOS_CS-02,,,,,,
23052782,DOS_CS-02,,,,,,
23052872,DOS_CS-02,,,,,,
23052876,DOS_CS-02,,,,,,
23052882,DOS_CS-02,,,,,,
23052910,DOS_CS-02,,,,,,
23053161,DOS_CS-02,,,,,,
23053168,DOS_CS-02,,,,,,
23053191,DOS_CS-02,,,,,,
23053199,DOS_CS-02,,,,,,
23053201,DOS_CS-02,,,,,,
23053274,DOS_CS-02,,,,,,
23053281,DOS_CS-02,,,,,,
23053313,DOS_CS-02,,,,,,
23053343,DOS_CS-02,,,,,,
23053387,DOS_CS-02,,,,,,
23053405,DOS_CS-02,,,,,,
23053433,DOS_CS-02,,,,,,
23053463,DOS_CS-02,,,,,,
23053475,DOS_CS-02,,,,,,
23053555,DOS_CS-02,,,,,,
23053586,DOS_CS-02,,,,,,
23053603,DOS_CS-02,,,,,,
23053681,DOS_CS-02,,,,,,
23053706,DOS_CS-02,,,,,,
23053914,DOS_CS-02,,,,,,
2105609,DOS_CS-03,,,,,,
2305009,DOS_CS-03,,,,,,
2305041,DOS_CS-03,,,,,,
2305144,DOS_CS-03,,,,,,
2305168,DOS_CS-03,,,,,,
