Roll Number,Section
23053302,CSE-11
23053317,CSE-11
23053366,CSE-11
23053656,CSE-11
23053731,CSE-11
23053741,CSE-11
23053765,CSE-11
23053780,CSE-11
23053781,CSE-11
23053782,CSE-11
23053783,CSE-11
23053851,CSE-11
23053869,CSE-11
23053883,CSE-11
23053884,CSE-11
23053914,CSE-11
23053934,CSE-11
24057091,CSE-11
2305039,CSE-12
2305133,CSE-12
2305348,CSE-12
2305427,CSE-12
2305451,CSE-12
2305457,CSE-12
2305543,CSE-12
2305555,CSE-12
2305604,CSE-12
2305655,CSE-12
2305687,CSE-12
2305703,CSE-12
2305711,CSE-12
2305713,CSE-12
2305739,CSE-12
2305796,CSE-12
2305800,CSE-12
2305811,CSE-12
2305846,CSE-12
2305869,CSE-12
23051018,CSE-12
23051083,CSE-12
23051115,CSE-12
23051131,CSE-12
23051173,CSE-12
23051180,CSE-12
23051203,CSE-12
23051219,CSE-12
23051528,CSE-12
23051620,CSE-12
23051722,CSE-12
23051726,CSE-12
23051746,CSE-12
23051751,CSE-12
23051757,CSE-12
23051762,CSE-12
23051775,CSE-12
23051781,CSE-12
23051787,CSE-12
23051791,CSE-12
23051799,CSE-12
23052277,CSE-12
23052283,CSE-12
23052338,CSE-12
23052349,CSE-12
23052361,CSE-12
23052364,CSE-12
23052367,CSE-12
23052384,CSE-12
23052474,CSE-12
23052520,CSE-12
23052762,CSE-12
23052780,CSE-12
23052814,CSE-12
23052818,CSE-12
23052823,CSE-12
23052947,CSE-12
23053199,CSE-12
23053234,CSE-12
23053361,CSE-12
23053405,CSE-12
23053424,CSE-12
23053427,CSE-12
23053433,CSE-12
23053458,CSE-12
23053468,CSE-12
23053475,CSE-12
23053530,CSE-12
23053531,CSE-12
23053532,CSE-12
23053534,CSE-12
23053542,CSE-12
23053611,CSE-12
23053696,CSE-12
23053877,CSE-12
23053904,CSE-12
24057060,CSE-12
24057069,CSE-12
2305007,CSE-13
2305060,CSE-13
2305129,CSE-13
2305270,CSE-13
2305379,CSE-13
2305465,CSE-13
2305526,CSE-13
2305590,CSE-13
2305595,CSE-13
2305616,CSE-13
2305618,CSE-13
2305652,CSE-13
2305654,CSE-13
2305657,CSE-13
2305663,CSE-13
2305797,CSE-13
2305878,CSE-13
2305907,CSE-13
23051065,CSE-13
23051176,CSE-13
23051186,CSE-13
23051207,CSE-13
23051211,CSE-13
23051227,CSE-13
23051349,CSE-13
23051387,CSE-13
23051449,CSE-13
23051485,CSE-13
23051563,CSE-13
23051591,CSE-13
23051639,CSE-13
23051650,CSE-13
23051674,CSE-13
23051742,CSE-13
23051745,CSE-13
23051811,CSE-13
23051886,CSE-13
23052165,CSE-13
23052188,CSE-13
23052304,CSE-13
23052351,CSE-13
23052403,CSE-13
23052405,CSE-13
23052469,CSE-13
23052516,CSE-13
23052547,CSE-13
23052625,CSE-13
23052712,CSE-13
23052743,CSE-13
23052750,CSE-13
23052751,CSE-13
23052785,CSE-13
23052803,CSE-13
23052816,CSE-13
23052869,CSE-13
23052949,CSE-13
23052957,CSE-13
23052987,CSE-13
23053003,CSE-13
23053329,CSE-13
23053622,CSE-13
23053623,CSE-13
23053625,CSE-13
23053728,CSE-13
23053733,CSE-13
23053742,CSE-13
23053761,CSE-13
23053789,CSE-13
23053792,CSE-13
23053920,CSE-13
24057013,CSE-13
24057014,CSE-13
24057052,CSE-13
24057075,CSE-13
24057078,CSE-13
24057079,CSE-13
2305194,CSE-14
2305344,CSE-14
